Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
93152,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2003,14.3,,
93153,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2003,15.6,,
93154,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2003,21.8,,
93155,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2003,24,,
93156,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2003,24.9,,
93157,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2003,24.9,,
93158,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2003,24.9,,
93159,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),201,Greenpoint,2003,21.2,,
93160,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2003,23,,
93161,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2003,22.4,,
93162,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),204,East New York,2003,16.8,,
93163,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),205,Sunset Park,2003,22.2,,
93164,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),206,Borough Park,2003,13.9,,
93165,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2003,12.4,,
93166,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2003,18.7,,
93167,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2003,24.4,,
93168,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2003,18.7,,
93169,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2003,26.3,,
93170,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),301,Washington Heights,2003,18.6,,
93171,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2003,21.7,,
93172,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),303,East Harlem,2003,27.4,,
93173,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),304,Upper West Side,2003,15.9,,
93174,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),305,Upper East Side,2003,14,,
93176,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2003,21.1,,
93175,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2003,14,,
93177,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2003,21.1,,
93178,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2003,20.7,,
93179,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2003,20.7,,
93180,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2003,19.5,,
93181,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),402,West Queens,2003,21.5,,
93182,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2003,20.7,,
93183,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2003,12.9,,
93185,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2003,14.9,,
93184,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2003,12.9,,
93186,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2003,19.6,,
93187,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),408,Jamaica,2003,15.4,,
93188,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2003,16.6,,
93189,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),410,Rockaways,2003,22.9,,
93190,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),501,Port Richmond,2003,25.8,,
93191,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2003,25.8,,
93192,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),503,Willowbrook,2003,24.7,,
93193,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2003,24.7,,
93194,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2004,20.1,,
93195,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2004,11.2,,
93196,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2004,23.9,,
93197,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2004,25.4,,
93198,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2004,20,,
93199,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2004,20,,
93200,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2004,20,,
93201,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),201,Greenpoint,2004,24.5,,
93202,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2004,17.5,,
93203,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2004,22.1,,
93204,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),204,East New York,2004,22,,
93205,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),205,Sunset Park,2004,19,,
93206,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),206,Borough Park,2004,15.8,,
93207,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2004,14.8,,
93208,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2004,13.6,,
93209,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2004,20.8,,
93210,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2004,21,,
93211,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2004,20.1,,
93212,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),301,Washington Heights,2004,17.7,,
93213,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2004,25.6,,
93214,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),303,East Harlem,2004,26.5,,
93215,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),304,Upper West Side,2004,11.5,,
93216,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),305,Upper East Side,2004,13.1,,
93218,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2004,17.3,,
